,-9,-7,-5,-3,-1,1,3,5,7,9,date,newborn,dead,WALE,11
0,1763052.67,86504.1645,7874.410584,1181.327472,15941.86263,567.6596659,472.0362221,34.26671311,6.200898,0,5/1/2016,1879509.599,1875634.599,2.951697236,0
1,2258496.805,161733.1279,21925.66644,2040.177723,1429.915749,640.4258981,292.8405778,191.7039537,11.47959803,0.64,5/2/2016,2450687.783,2446762.783,1.372905478,0
2,2105828.383,152657.3505,6222.743172,1801.463398,1805.320019,1368.338211,304.957896,69.59204824,25.20116927,1.69,5/3/2016,2273860.039,2270085.039,1.152825484,0
3,1977634.551,261178.3851,23734.42115,5883.830467,1275.437476,1822.018845,894.9313249,7.43179108,65.24499804,0,5/4/2016,2276671.25,2272496.252,2.654485674,0
4,2018833.506,119183.965,13624.87699,2476.744468,913.3977192,2147.267248,525.0766535,38.77151119,3.08886317,0.1,5/5/2016,2161621.794,2157746.794,1.479215579,0
5,2054511.045,238540.904,9827.100184,3117.182989,7060.829403,2918.221776,370.7011373,808.2119717,1.26368678,50.04,5/6/2016,2321255.5,2317205.5,2.610631623,0
6,1731023.884,126664.2078,16474.34111,1321.597686,1194.320277,9475.15602,3669.259523,59.63467698,51.95880093,5,5/7/2016,1893689.36,1889939.36,5.277222015,0
7,1472447.437,135739.0541,5308.325252,1802.201104,2373.708958,639.4944524,1187.097748,90.77904979,42.68186581,0.1,5/8/2016,1623830.879,1619630.879,1.991336646,0
8,1857706.101,184377.3111,9626.726711,1240.962598,1773.434191,1576.603551,468.570254,88.30066043,73.82236318,1100.05,5/9/2016,2062306.883,2058031.883,2.692402145,0
9,1994834.4,173044.0451,28994.06026,3129.061511,3147.64174,894.1385893,2828.270112,81.85998561,1008.046417,0.15,5/10/2016,2211911.674,2207961.674,3.940299518,0
10,2289286.695,181197.9895,16327.13198,14587.18256,1209.728309,2333.688219,967.5839172,426.5500516,13.14565811,499.99,5/11/2016,2510174.685,2506849.685,3.062924795,0
11,2109024.735,161476.9229,10847.34084,3245.617529,3404.827343,2188.597645,1220.265215,520.1447429,5.77922008,5.15,5/12/2016,2295414.38,2291939.38,2.260504921,0
12,2379276.544,181077.2409,6611.350415,2138.105816,1649.423268,900.9424642,1689.107805,432.2486947,156.0475432,50,5/13/2016,2577781.011,2573981.011,1.672833163,0
13,1778284.154,108251.4619,4336.219667,7691.720829,1130.137053,1273.655103,5865.362821,6.20799821,13.39061787,100.5,5/14/2016,1910552.81,1906952.81,4.580894531,0
14,1925139.198,103452.3009,5151.579485,3103.674967,1252.283646,614.1662501,422.620448,21.07744201,54.67648265,110.4816305,5/15/2016,2042797.059,2039322.059,1.172184935,0
15,2488348.912,174004.7154,9411.051876,4406.979972,2464.284942,851.1377111,5635.375793,68.48524265,22.89066968,0,5/16/2016,2688738.834,2685213.834,2.921124105,0
16,2449816.161,136220.2355,14799.6847,1390.092145,1041.170212,96286.4675,520.1467635,56.369121,164.5885046,0,5/17/2016,2703819.915,2700294.915,18.51653581,0
17,2026599.474,172033.7975,37685.19252,2174.873873,1935.707607,1477.956924,3170.362778,1125.943177,160.3419222,3.42,5/18/2016,2250192.07,2246367.07,3.818156083,0
18,2339787.284,151832.2878,31049.50835,5649.385332,2082.206327,6858.343609,1699.632678,2454.467633,17.6527451,0.36,5/19/2016,2544431.129,2541431.129,4.620570835,0
19,1933770.331,136889.959,14768.56525,29440.10338,2546.522504,12383.16902,872.5995756,92.75924962,10.37281386,100.31,5/20/2016,2134599.692,2130874.692,5.392025749,0
20,1462114.985,92217.92204,13759.54034,1969.421569,1168.989593,2521.590435,840.6416491,187.3671772,100.6209076,50.07,5/21/2016,1578456.149,1574931.149,2.550530295,0
21,1384295.188,104615.1172,13072.32851,2008.297412,785.8860258,1564.036042,434.5651649,98.63642808,15.91421497,889.7,5/22/2016,1512379.669,1507779.669,3.077439023,0
22,1937483.837,158357.6899,21365.38005,2406.503367,9239.54594,2267.609044,424.8536742,179.3841519,87.76004892,0,5/23/2016,2136312.563,2131812.563,2.851502582,0
23,2312219.713,175279.3471,11393.1873,3289.42666,6559.336406,1499.663068,742.426479,18.30791332,24.75060883,0,5/24/2016,2514701.158,2511026.158,1.86667315,0
24,3145076.197,154824.1038,14056.14426,2823.485862,18289.66863,754.8914079,602.9705508,1075.233336,35.1898125,50.02,5/25/2016,3341037.905,3337587.905,2.405122383,0
25,3413969.947,133106.9953,18796.69169,4384.008469,7400.365808,1965.320051,797.8025027,379.943287,69.50148737,0.01,5/26/2016,3584245.585,3580870.585,1.693947941,0
26,3849723.165,176995.3254,37060.59006,10063.95397,18236.81902,2730.001114,25760.35921,25.73413294,42.66376889,0.59,5/27/2016,4124114.202,4120639.202,8.338147087,0
27,3464979.88,124269.7572,43156.29528,17838.21958,6856.116399,3431.231871,1417.444209,237.8818517,13.02571265,0.5,5/28/2016,3665525.352,3662200.352,2.767392881,0
28,2524387.196,173279.0099,15615.23131,8502.359342,4178.574623,5665.384243,1348.875528,4141.165986,66.28910251,0,5/29/2016,2740859.086,2737184.086,4.678396783,0
29,1986934.876,221486.9611,18423.56948,5817.309492,8637.521561,2101.657445,970.1578611,381.2484993,51.93674408,1.13,5/30/2016,2248406.368,2244806.368,3.315176601,0
30,2378795.128,137132.0828,19103.56246,11590.74544,4454.970922,3617.375817,1712.564041,1775.398114,63.12985879,0.02,5/31/2016,2561419.977,2558244.977,3.744886489,0
31,2164295.208,143163.0207,19720.0855,9038.533299,4233.890891,6247.585161,1505.986068,148.3302794,34.51443805,4.9,6/1/2016,2351967.054,2348392.054,3.879703197,0
32,2101976.345,187514.8786,21441.46359,8994.515223,9952.924274,934.4434128,978.6859425,1215.992079,6098.599037,50.65,6/2/2016,2342608.497,2339158.497,7.763892044,0
33,1775277.096,141550.8715,7185.203322,4797.726467,2506.142349,3062.711305,974.9047544,73.77795171,11.44040816,0.3,6/3/2016,1938990.174,1935440.174,2.563481952,0
34,1333721.581,141563.3849,7852.745015,3488.425415,1340.026159,1059.013534,1518.949668,29.79754198,45.83312784,0.52,6/4/2016,1493595.277,1490620.277,2.519053405,0
35,1685347.179,113828.5902,7884.782379,15129.51312,2218.968928,1202.836258,769.6741716,1282.685497,73.63553587,0.17,6/5/2016,1831988.035,1827738.035,3.42988316,0
36,1746536.105,184289.5934,6792.537449,5885.527634,7830.286075,2418.861466,5915.311598,198.2092525,77.69256325,4.06,6/6/2016,1964198.184,1959948.184,5.564984319,0
37,1937442.662,152994.1284,11522.36585,5092.005964,2074.994859,2713.878074,5565.476959,430.6918366,4.74169289,1034.993696,6/7/2016,2122375.939,2118875.939,5.342457781,0
38,1843363.979,130714.7365,7776.38559,9322.070084,6568.437959,2102.792252,559.5530042,139.5322327,31.92871674,0.29,6/8/2016,2004179.705,2000579.705,2.726290405,0
39,1877094.431,190437.3353,15362.76255,2266.477051,1064.323591,1806.888932,2979.865101,49.58638208,21.21486966,0.05,6/9/2016,2095207.935,2091082.935,2.95320784,0
40,2125490.991,149182.2804,5824.14511,7555.256612,4924.488585,3210.098606,1789.563414,221.2282402,3.90311709,10,6/10/2016,2301811.955,2298211.955,3.020333937,0
