,date,-9,-7,-5,-3,-1,1,3,5,7,9,11
0,7/31/2017,636379.6858,2465039.81,2003120.205,1258057.969,1444149.555,1857345.306,1044132.795,1984113.06,919285.0989,2869353.809,0
1,8/1/2017,495707.1802,2731381.109,1949135.963,1216453.794,1429565.787,1852331.602,1038908.318,1981729.5,916986.1216,2869890.42,0
2,8/2/2017,193026.0889,3079911.772,1923905.045,1198199.634,1306325.837,1974665.962,1037807.061,1981138.556,915589.0275,2871608.311,0
3,8/3/2017,395500.4297,2944311.501,1878284.932,1211696.913,1286019.568,1973420.41,1026109.007,1983414.03,912512.2871,2871345.718,0
4,8/4/2017,686690.9686,2828512.817,1836846.234,1201054.613,1268063.534,1947065.869,966335.9074,1977993.167,906481.0669,2863808.119,0
5,8/5/2017,521053.0738,3100860.203,1818862.431,1177873.714,1260951.971,1922430.925,947623.1851,1969390.011,902911.6623,2861057.619,0
6,8/6/2017,443771.5932,3245954.68,1853008.217,1154378.065,1258136.355,1898173.516,942758.9349,1929309.247,901338.942,2856997.745,0
7,8/7/2017,346495.2697,3427128.618,1814084.903,1144024.116,1250034.759,1885654.81,938343.8844,1923907.65,898941.1352,2856187.15,0
8,8/8/2017,303728.054,3522271.146,1814460.763,1135596.11,1247875.258,1769756.562,1024660.19,1918980.308,894579.6853,2853181.72,0
9,8/9/2017,210110.1574,3632931.448,1813480.748,1140249.062,1242657.199,1726924.38,1057423.598,1919128.561,892064.0991,2851308.042,0
10,8/10/2017,220752.6752,3631979.109,1811479.958,1140318.757,1238792.488,1727232.757,1057183.012,1914573.862,893328.1663,2851886.51,0
11,8/11/2017,256902.4288,3562211.697,1833524.303,1153439.789,1240117.102,1726818.76,1055924.996,1912770.662,894343.4915,2852311.567,0
12,8/12/2017,152661.8234,3665475.731,1829748.798,1157869.623,1243430.964,1725403.032,1050004.138,1917122.136,893919.4783,2853629.072,0
13,8/13/2017,114250.1921,3709969.502,1834485.699,1156348.842,1242675.771,1721285.54,1040797.761,1922171.456,894312.5141,2853942.518,0
14,8/14/2017,229999.469,3624970.071,1826004.591,1159274.219,1236268.31,1721254.835,1026078.601,1919692.538,892957.8996,2854876.761,0
15,8/15/2017,299610.7205,3546523.998,1847595.617,1158531.248,1236368.822,1716731.872,1023691.183,1917019.157,889470.8254,2857233.852,0
16,8/16/2017,196933.1198,3663701.104,1839452.464,1171772.924,1231342.013,1704616.993,1022256.865,1916358.227,889216.6466,2858176.938,0
17,8/17/2017,357360.1888,3488634.925,1857146.913,1178016.185,1232225.998,1701575.979,1013670.991,1918684.679,887510.5387,2859813.397,0
18,8/18/2017,394895.4936,3493794.828,1856644.795,1175148.445,1220918.798,1681079.627,1014514.829,1912736.376,883764.8363,2861954.268,0
19,8/19/2017,378290.2835,3551078.456,1868906.899,1163557.369,1197804.324,1677405.62,1010580.444,1906473.325,882240.8834,2860752.192,0
20,8/20/2017,263950.2484,3700768.999,1852264.18,1147108.456,1218502.554,1672056.399,1006528.908,1900841.8,879718.6947,2861149.556,0
21,8/21/2017,200713.2986,3777850.115,1834794.572,1173393.108,1212351.78,1671690.132,1002178.128,1898956.078,878192.0139,2862320.57,0
22,8/22/2017,286546.6777,3757664.492,1806222.253,1178998.701,1207397.001,1653822.022,998781.9427,1891114.81,878319.5329,2864259.863,0
23,8/23/2017,203480.1945,3832434.576,1810708.456,1189844.961,1207915.03,1649474.13,1003111.638,1884066.212,877737.3164,2864629.782,0
24,8/24/2017,279398.0349,3759284.678,1793643.817,1218760.142,1176560.375,1671832.438,1007739.43,1882103.144,876007.8852,2865184.851,0
25,8/25/2017,168685.363,3830968.618,1836462.963,1228821.341,1158423.133,1691836.741,1007647.163,1876746.694,874109.416,2865413.364,0
26,8/26/2017,126157.5729,3842726.093,1880480.014,1227983.199,1153242.098,1694036.258,1007277.724,1875552.768,874566.1827,2865542.886,0
